name,rating,service,No of employees,Company Age,Location
IMPACT Infotech,3.6,IT Services & Consulting , 501-1k Employees , 29 years old ,Pune
Hitachi Systems Micro Clinic,4.0,IT Services & Consulting , 1k-5k Employees , 32 years old ,Chiyoda City
Jio Platforms,3.7,IT Services & Consulting , 10k-50k Employees , 10k-50k Employees ,Navi Mumbai
RAMTeCH Software Solutions,3.8,IT Services & Consulting , 1k-5k Employees , 31 years old ,Noida
Electrosteel Steels,4.2,Iron & Steel , 501-1k Employees , 17 years old ,Jharkhand
Advik Hi Tech,3.7,Auto Components , 1k-5k Employees , 23 years old ,Pune
Bitwise Solutions,4.3,IT Services & Consulting , 501-1k Employees , 27 years old ,Schaumburg
City Union Bank,3.4,Banking , 5k-10k Employees , 119 years old ,Thanjavur
City Union Bank,3.4,Banking , 5k-10k Employees , 119 years old ,Thanjavur
Bitwise Solutions,4.3,IT Services & Consulting , 501-1k Employees , 27 years old ,Schaumburg
Denave,3.9,Marketing & Advertising , 501-1k Employees , 24 years old ,Noida
EMERSON PROCESS MANAGEMENT,3.9,Industrial Machinery , 1k-5k Employees , 133 years old ,St. Louis
Deepak Fertilisers and Petrochemicals,3.8,Agro Chemicals , 1k-5k Employees , 44 years old ,Pune
Redington,4.0,Hardware & Networking , 1k-5k Employees , 24 years old ,Dubai
Chennai Radha Engineering Works,3.9,Industrial Machinery , 5k-10k Employees , 18 years old ,Chennai
Caparo Engineering India,3.8,Auto Components , 51-200 Employees , 55 years old ,Gurgaon/Gurugram
